a,diameter,rot_per
2.76539483535555,848.40,9.075
2.77225498121759,498.07,7.8132
2.66791469885854,233.92,7.210
2.36130501529714,468.30,5.342
2.57332353654846,119.07,16.800
2.42518881432432,185.18,7.2745
2.3851151897225,199.83,7.139
2.20228777927549,135.89,12.7990
2.38637044097221,190,5.079
3.13744077695485,407.12,27.623
2.45252260939605,153.33,9.43
2.33400112202999,112.77,8.6599
2.57726659916218,207.64,7.045
2.58481635551983,152,15.06
2.64335509430686,255.33,6.083
2.92026076144059,253.16,4.196
2.4703404,90.04,12.2660
2.29523635726605,140.57,11.5714
2.44175491408002,200,7.4432
2.40916073249729,145.50,8.098
2.4346995280481,95.76,8.1655
2.90905101520964,181.00,4.148
2.62767285471105,107.53,12.3122
3.13031505257418,198,8.374
2.40069677682259,75.13,9.945
2.65588031919787,94.80,10.60
2.34784688779756,96,10.410
2.77845879136598,120.90,15.695
2.55451275194929,212.22,5.390
2.36665440152565,100.15,13.686
3.150085805402,255.90,5.531
2.58688897796918,80.76,9.448
2.6849026,113.54,12.15
2.9911304,103.11,32.
2.74702635594607,105.61,9.93
2.64136957816077,108.35,7.3335
2.74140188642429,115.93,12.84
2.76837372902733,149.52,5.138
2.26712587712955,107.62,8.910
2.76556634626919,174.00,5.988
2.44188225032293,100.20,13.5970
2.20344862781279,65.88,5.762
2.42359525776641,70.64,6.422
2.72018284151806,214.63,5.699
2.52496166798964,124.14,21.04
2.87798019538944,126.96,13.20
3.10960752450475,221.80,11.89
3.0845825,149.80,10.42
2.6493949876258,99.82,14.31
2.36584064149282,147.86,7.783
3.10239170287471,302.50,5.633
2.61864457997738,115.38,17.
2.71185947186048,165.75,7.024
2.75913982867858,66.70,4.8040
2.59507473853043,113.24,18.14
3.1498,112.59,12.463
2.69959969404495,93.43,9.895
2.71526871017191,164.80,13.69
2.39354109038051,60.20,25.206
2.9823675,82.04,11.45
3.12045010257797,95.39,9.2213
2.39601227578087,103.14,9.2976
3.43393533246857,237.26,4.041
2.6453648,71.82,9.733
2.42156359424082,58.11,15.89
2.78221822947237,122.57,14.848
2.98243807267204,138.13,5.6552
2.6158221,122.17,15.797
2.75432344052395,83.42,35.5
2.26630690396789,85.90,8.097
2.6665458,44.44,8.297
2.77772981077906,118.71,8.629
2.6732831,55.91,5.357
3.4167703,183.66,9.972
2.6679324,69.25,9.012
2.62019355921691,120.60,7.225
2.44422695315829,66.47,5.978
2.2956732,78.39,14.030
2.8528538,119.08,11.02
2.75950528369472,60.96,12.999
2.43262897291725,81.37,10.16
2.3628561,79.16,5.80
2.65269482101619,154.79,6.8751
3.11961651160287,120.56,16.634
3.48988205190325,260.94,5.184
2.76808603510217,200.58,6.0413
2.55033650108616,151.46,11.387
3.15597769705851,120.07,16.509
2.59196627250618,109.81,6.025
3.19055396396617,126.42,15.94
2.75483912060895,141.55,5.982
3.16486958471378,204.89,7.22
3.0670239,136.04,8.688
3.05818971849989,170.02,13.82
2.66808681004569,82.83,35.15
2.68441231937725,104.45,16.5
2.66410522719267,69.04,10.35
3.0935873,88.66,13.333
2.58304122251975,65.84,23.080
2.6649333,83.00,15.789
2.7021437,91.20,23.74
3.16078703140993,123.68,8.984
2.3737847617791,119.08,16.84
3.16726541678815,146.59,16.26
3.47791021627339,222.62,4.8439
2.6954759,89.44,13.191
2.7349475,86.09,10.927
2.59422117584164,134.55,22.2
2.37559909626051,46.14,9.935
2.67784079375299,99.65,10.758
2.3812802,79.83,7.241
2.7698508000819,71.70,12.028
2.99064706735113,148.71,9.127
2.4383771,41.73,7.78
2.5809695,57.30,11.484
3.11508988738125,174.10,45.84
3.45262430476455,209.00,5.551
3.2214692,81.69,10.685
2.6944318,47.97,10.04
2.63046441317847,76.36,9.921
2.7423847,43.58,3.968
2.4390372,44.82,5.364
2.75609375790009,122,11.
2.74875783177728,188.16,39.
2.86739332290373,113,4.9572
3.12247347149565,182.25,5.225
2.6091497,42.87,5.168
3.0616711,66.57,12.708
2.56337467714724,123.27,17.196
2.42813097231144,79.24,8.4006
2.2872118,40.14,11.5
3.11627140314855,145.42,15.13
2.4488221,45.50,10.101
2.78313985036979,156.60,20.991
2.733085132012,109.79,18.495
2.6657187,131.03,19.86
2.4180988,55.29,9.764
2.65421782820907,142.38,13.819
2.67462852915044,151.14,8.1
2.71833424753175,132.21,18.557
3.1346147,132.93,7.853
2.7704139,97.75,20.664
2.17502,19.75,26.
2.9792286,151.13,8.140
2.5916426,45.37,9.864
3.9805224,170.63,5.11
2.7607888,39.9,7.958
2.73297182552344,120.99,22.37
2.8684422,35.37,14.206
3.10047550803031,124.97,25.
2.7272191,81.24,5.61
2.3794094,44.19,7.288
3.0258647,99.10,11.87
2.36766784278896,72.63,16.136
2.63261496007559,104.87,13.66
3.1264732,154.78,7.226
2.8528271,39.94,13.07
2.3583219,33.60,13.27
2.5528507,44.30,13.14
3.13564156817772,116.69,13.4
2.3802677,62.43,27.417
2.74203848297087,154.10,6.163
2.8582358,69.24,5.744
3.1852888,101.17,7.668
3.1907715,121.04,11.289
2.76884872064371,73.22,14.208
2.4598828,35.81,12.321
2.9708988,77.69,11.173
3.1385589,106.66,24.
