full_name,a,year
" 15760 (1992 QB1)",43.70405755366057,1992
" 15788 (1993 SB)",39.13466887589128,1993
" 15789 (1993 SC)",39.34926355225443,1993
" 15807 (1994 GV9)",44.0472932555076,1994
" 15809 (1994 JS)",42.42124809015642,1994
" 15810 Arawn (1994 JR1)",39.54244448509541,1994
" 15820 (1994 TB)",39.24098343303483,1994
" 15836 (1995 DA2)",36.55746018413618,1995
" 15874 (1996 TL66)",82.72567494353629,1996
" 15875 (1996 TP66)",39.20555234232803,1996
" 15883 (1997 CR29)",47.20017138142993,1997
" 16684 (1994 JQ1)",44.40253309435993,1994
" 19255 (1994 VK8)",42.6848656522691,1994
" 19299 (1996 SZ4)",39.3690074340751,1996
" 19308 (1996 TO66)",43.14574924474065,1996
" 19521 Chaos (1998 WH24)",45.58096559565345,1998
" 20000 Varuna (2000 WR106)",42.95029216636711,2000
" 20108 (1995 QZ9)",39.27637036606746,1995
" 20161 (1996 TR66)",47.62097521616306,1996
" 24835 (1995 SM55)",41.62783812116207,1995
" 24952 (1997 QJ4)",39.15316486398523,1997
" 24978 (1998 HJ151)",43.60596143204504,1998
" 26181 (1996 GQ21)",95.02190982911337,1996
" 26308 (1998 SM165)",47.41702131812445,1998
" 26375 (1999 DE9)",55.86656047605366,1999
" 28978 Ixion (2001 KX76)",39.66354497991967,2001
" 29981 (1999 TD10)",95.11796868553843,1999
" 32929 (1995 QY9)",39.44922846110991,1995
" 33001 (1997 CU29)",43.53944107716118,1997
" 33128 (1998 BU48)",33.36445431440449,1998
" 33340 (1998 VG44)",39.17300717871291,1998
" 35671 (1998 SN165)",37.73956353547951,1998
" 38083 Rhadamanthus (1999 HX11)",39.21383564737551,1999
" 38084 (1999 HB12)",56.38001980517564,1999
" 38628 Huya (2000 EB173)",39.79394353223462,2000
" 40314 (1999 KR16)",49.23793325380782,1999
" 42301 (2001 UR163)",51.31526091397214,2001
" 42355 Typhon (2002 CR46)",38.23478114472351,2002
" 44594 (1999 OX3)",32.0826030127695,1999
" 45802 (2000 PV29)",43.42807563984968,2000
