NAME,A,PER,R,MASS
Kepler-107 d,0.0780099,7.958203,0.095459,0.00371234
Kepler-1049 b,0.0344721,3.27346074,0.085,0.00245309
Kepler-813 b,0.13761,19.12947337,0.191,0.0159697
Kepler-427 b,0.091351,10.290994,1.23,0.29
Kepler-1056 b,0.185149,27.495606,0.269,0.0271261
Kepler-1165 b,0.0912977,9.478522,0.138,0.0115843
Kepler-1104 b,0.0627651,5.03728015,0.11,0.00609283
WASP-14 b,0.0367693,2.243752,1.281,7.69234
Kepler-50 b,0.0825598,7.8125124,0.196096,0.0164915
Kepler-1279 b,0.170989,23.4774101,0.156,0.0129028
Kepler-1599 b,0.48075,122.363553,0.145,0.0120821
Kepler-20 b,0.0453704,3.6961219,0.170247,0.0266646
HAT-P-27 b,0.0399488,3.039577,1.02,0.617485
Kepler-181 b,0.0419466,3.137873,0.113302,0.00674351
Kepler-207 b,0.0269045,1.611865,0.140066,0.0117295
Kepler-1156 b,0.101981,11.89520511,0.118,0.00774372
Kepler-1512 b,0.13139,20.35972599,0.105,0.00518721
Kepler-787 b,0.0161327,0.9283105,0.114,0.00688654
Kepler-528 b,0.143629,19.78297415,0.186,0.0154788
Kepler-480 b,0.0609811,4.9195838,0.248,0.0233514
Kepler-1567 b,0.5527,153.979578,0.244,0.0227057
Kepler-1390 b,0.0675681,6.48021673,0.105,0.00518721
Kepler-1642 b,0.0994208,12.2057513,0.285,0.0304768
Kepler-11 c,0.106909,13.0241,0.255816,0.00912437
Kepler-871 b,0.159318,22.0459018,0.334,0.0437521
Kepler-1131 b,0.0458416,3.53232449,0.142,0.0118667
Kepler-705 b,0.231978,56.0560538,0.188,0.0156727
WASP-21 b,0.0521087,4.322482,1.07,0.300272
Kepler-284 c,0.219317,37.514456,0.232849,0.0210192
Kepler-186 c,0.0574114,7.267302,0.111418,0.00636705
Kepler-239 b,0.101225,11.763051,0.207869,0.0177874
Kepler-651 b,0.146649,21.38521506,0.211,0.0181548
Kepler-80 f,0.017386,0.98678706,0.11,0.00609283
Kepler-1217 b,0.0320163,2.03232507,0.178,0.0147338
Kepler-895 b,0.0337283,2.80624233,0.137,0.0115145
Kepler-628 b,0.121444,15.4580567,0.749,0.243389
Kepler-174 b,0.113583,13.98179,0.174859,0.014454
Kepler-440 b,0.353207,101.11141,0.165939,0.0136945
Kepler-403 d,0,13.61159129,0.127,0.00991268
Kepler-224 d,0.0988375,11.349393,0.205192,0.0174811
Kepler-389 c,0.116434,14.51143,0.130252,0.0107805
Kepler-674 b,0.0282874,2.24338185,0.151,0.0125233
